n_neighbors	min_dist	metric	n_jobs	random_state	trustworthiness	subset_n	path
50	0.5	cosine	64	None	0.899917	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_5a8916446c180ec0.parquet
50	0.5	euclidean	64	None	0.895763	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_00a0ecc8244a91a0.parquet
100	0.0	cosine	64	None	0.809459	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_adffe0b47d988080.parquet
100	0.0	euclidean	64	None	0.838846	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_a19dc4b3551b2c6f.parquet
100	0.01	cosine	64	None	0.807673	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_ed6582a7e271fbab.parquet
100	0.01	euclidean	64	None	0.836366	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_cd4c7b87e2e78f98.parquet
100	0.1	cosine	64	None	0.811719	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_cc41d2e2c9161c1d.parquet
100	0.1	euclidean	64	None	0.829957	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_4cfba31712db037c.parquet
100	0.25	cosine	64	None	0.811112	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_1011dfc4a371beb6.parquet
100	0.25	euclidean	64	None	0.820303	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_234ecf68e0b69ff4.parquet
100	0.5	cosine	64	None	0.821497	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_784fef162e8804bc.parquet
100	0.5	euclidean	64	None	0.829511	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_09e4e956d24156e4.parquet
200	0.0	cosine	64	None	0.712951	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_fc8b75ff71820b1d.parquet
200	0.0	euclidean	64	None	0.764918	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_76ec7e32cb0b62ed.parquet
200	0.01	cosine	64	None	0.715069	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_d9bbe3e2ae546a7c.parquet
200	0.01	euclidean	64	None	0.791457	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_bfa6815ba21814df.parquet
200	0.1	cosine	64	None	0.729387	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_e975acf6ad55a7cb.parquet
200	0.1	euclidean	64	None	0.765654	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_cb9b028d7808c33f.parquet
200	0.25	cosine	64	None	0.743833	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_42b23194e8b63d5a.parquet
200	0.25	euclidean	64	None	0.759815	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_ef8bc4bc28a478cd.parquet
200	0.5	cosine	64	None	0.735368	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_51d6525053bb99e1.parquet
200	0.5	euclidean	64	None	0.762508	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_ac3d3b23ae0062e9.parquet
500	0.0	cosine	64	None	0.662115	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_f7fc8c251dc64fe5.parquet
500	0.0	euclidean	64	None	0.691684	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_01348acd2ac88fb1.parquet
500	0.01	cosine	64	None	0.641665	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_2365cad7ffb4cb96.parquet
500	0.01	euclidean	64	None	0.704991	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_f5ea421f0ddc56f5.parquet
500	0.1	cosine	64	None	0.667798	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_61181a18c22d1373.parquet
500	0.1	euclidean	64	None	0.694928	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_cb1a331703a492a9.parquet
500	0.25	cosine	64	None	0.674966	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_410f08fe6039160a.parquet
500	0.25	euclidean	64	None	0.690872	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_c2010eef0174b4bb.parquet
500	0.5	cosine	64	None	0.662221	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_23938da3f0c8fa25.parquet
500	0.5	euclidean	64	None	0.698488	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_fe7017b361eadec8.parquet
1000	0.0	cosine	64	None	0.655963	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_0abe44f05b892132.parquet
1000	0.0	euclidean	64	None	0.668988	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_bf88e6b353cc5508.parquet
1000	0.01	cosine	64	None	0.650583	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_141945b4c37018a9.parquet
1000	0.01	euclidean	64	None	0.682255	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_a4cce7d7a6417ac1.parquet
1000	0.1	cosine	64	None	0.648264	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_c5fff84da3f27d8e.parquet
1000	0.1	euclidean	64	None	0.687298	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_afc4f81343e6421a.parquet
1000	0.25	cosine	64	None	0.646458	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_42c57a1cb7b549d4.parquet
1000	0.25	euclidean	64	None	0.688002	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_1ef7fd22a0c1aeab.parquet
1000	0.5	cosine	64	None	0.654193	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_70d309898ee7c2e5.parquet
1000	0.5	euclidean	64	None	0.681745	5000	/zata/zippy/kresgeb/nmf_stuff/dlPFC/output/nmf_umaps/umap_param_sweep/enriched_embeddings/umap_sweep_306b30508efa8bea.parquet
